,Rok,Miesiąc,Dzień,T_MAX,T_MIN,T_ŚR,Suma dobowa opadów,Średnia wilgotność,Średnia prędkość wiatru,Średnie zachmurzenie,Ciśnienie na stacji
113,2012.0,1.0,21.0,3.1,-0.2,1.0,4.5,81.3,2.3,7.0,979.7
114,2012.0,1.0,22.0,4.2,0.0,2.6,1.1,82.5,2.7,7.7,971.7
115,2012.0,1.0,23.0,4.5,1.4,2.5,2.5,76.5,3.3,7.3,978.7
116,2012.0,1.0,24.0,1.9,-1.1,0.3,0.2,83.5,1.3,7.3,986.0
117,2012.0,1.0,25.0,0.8,-2.2,-0.9,1.2,78.3,1.3,5.0,993.0
118,2012.0,1.0,26.0,-0.7,-6.5,-4.0,0.3,77.8,3.3,7.3,995.1
119,2012.0,1.0,27.0,-6.2,-12.3,-10.3,0.0,75.5,2.7,0.7,1000.3
120,2012.0,1.0,28.0,-7.0,-13.9,-10.7,0.0,75.8,2.0,3.3,1002.8
121,2012.0,1.0,29.0,-5.7,-13.8,-10.3,0.0,66.8,3.7,0.3,1005.3
122,2012.0,1.0,30.0,-8.0,-15.3,-12.3,0.0,71.3,4.3,0.0,1006.8
123,2012.0,1.0,31.0,-8.6,-15.8,-12.5,0.0,72.0,3.7,0.3,1004.3
124,2013.0,1.0,1.0,11.5,-2.4,1.6,0.0,72.5,0.0,2.0,983.7
125,2013.0,1.0,2.0,1.8,-2.5,-0.4,0.1,88.8,1.3,5.3,990.6
126,2013.0,1.0,3.0,4.3,1.1,3.1,3.3,80.3,1.7,7.7,995.3
127,2013.0,1.0,4.0,6.8,4.1,5.7,4.4,74.8,2.7,8.0,991.7
128,2013.0,1.0,5.0,5.8,2.5,3.7,0.0,75.5,2.3,7.7,989.9
129,2013.0,1.0,6.0,2.7,0.0,0.8,4.0,78.0,1.7,7.3,991.1
130,2013.0,1.0,7.0,0.2,-3.5,-2.3,0.0,70.5,1.0,7.7,996.9
131,2013.0,1.0,8.0,-2.8,-7.5,-5.1,4.9,73.5,0.7,5.0,995.5
132,2013.0,1.0,9.0,0.7,-3.5,-0.7,1.3,91.5,1.0,8.0,990.1
133,2013.0,1.0,10.0,3.9,-2.5,1.4,4.1,80.5,2.3,7.3,977.5
134,2013.0,1.0,11.0,3.3,-1.7,0.1,0.4,78.5,1.7,7.3,978.5
135,2013.0,1.0,12.0,-1.0,-3.2,-2.4,2.2,78.5,2.3,7.7,984.9
136,2013.0,1.0,13.0,-2.6,-6.1,-4.8,0.0,80.5,0.7,5.0,989.9
137,2013.0,1.0,14.0,-2.1,-10.2,-6.1,3.3,80.8,2.0,7.7,987.6
138,2013.0,1.0,15.0,0.3,-2.9,-1.7,0.4,90.3,0.7,8.0,982.3
